id,hatespeech,csType,counterspeech,hs_id,id_orig,hatespeechTarget,speakerIntent,powerDynamics,hatespeechImplication,targetGroupCognitiveReaction,targetGroupEmotionalReaction,hatespeechOffensiveness
1,Gypsies like living in trailer parks.,Informative,Most of them live in conventional housing. When they live in the camps it is because they do not have the possibility to have adequate housing. In the end they find themselves living in distant industrial areas that are not well connected to services. This creates a lot of social hardship as well as denial of access to basic rights such as education and health.,144,578,gypsies,The speaker is trying to make a joke about gypsies,racial,"implies that all gypsies like living in trailer parks, which is false and offensive","gypsies could want to avoid the speaker, feel less comfortable in the conversation, and could make them seem more foreign than they are","gypsies could feel angry, insulted, and offended by the statement",offensive generalization
2,Arab people are a menace to our society and bring injustice and violence into our world.,Denouncing,"We stand against stereotyping and prejudice. Arab people, like any other group, contribute positively to society and deserve respect and equality.",1856,8233,asian_people,The speaker is trying to express their opinion about Arab people,ethnicity_and_culture,"implies that Arab people are a threat to society, and that they bring injustice and violence into the world","Arab people could feel less welcome in the country they are in, might be more likely to experience discrimination or violence due to this statement","Arab people could feel angry, scared, or threatened by the statement",offensive generalization
3,Women want and must be dominated. I would rather have a man that controls my life than 2000000 feminists.,Denouncing,"Women deserve equal rights, respect, and freedom to make their own choices. Feminism promotes equality and empowerment, benefiting society as a whole.",1455,13880,women,The speaker is trying to express their opinion about women and feminists,gender,"implies that women are not capable of controlling their own lives, and that they should be dominated by men","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","women could feel angry, frustrated, and disrespected by the statement",microaggression
4,Muslims are just a bunch of child molesters.,Positive,"There are many muslims who are good people, and there are many child molesters in the western world who are not muslims.",1686,3223,muslims,"The speaker is trying to express distrusts against Muslims, calling them all child molesters",religion,"implies that all Muslims are child molesters, which is a false stereotype","Muslims could feel less welcome in the country they are in, or more likely to be discriminated against due to this stereotype","Muslims could feel angry, scared, or threatened by the statement",offensive generalization
5,"What about the psychos? Like crazy people, those nuts flipped in head and so on? Wouldnt they be better off dead?",Questioning,Isn't it important to recognize and respect the diversity within any group? what evidence supports the claim that all jews have the same values or intentions?,1482,13469,people_with_mental_disability,The speaker is trying to express their opinion about people with mental illness,other,"implies that people with mental illness are crazy, dangerous, and should not exist","people with mental illness could feel less welcome in society, more likely to be judged or misunderstood, and more likely to be discriminated against","people with mental illness could feel angry, scared, and invalidated by the statement",offensive generalization
6,Muslims are overrunning Europe and we still have no idea whats going on. We arent safe anymore. We cannot live in fear forever.,Positive,"I understand that you may have concerns about the changing demographics in europe. It's important to remember that diversity is what makes our world beautiful and vibrant. Rather than living in fear, let's strive for understanding and harmony among different cultures. Building bridges of friendship and empathy can help us create a safer and more inclusive society. Let's work together to foster a sense of unity and celebrate the contributions that people from all backgrounds bring to our communities.",1390,11786,muslims,The speaker is trying to express their fear of Muslims in Europe,religion,"implies that Muslims are a threat to Europe, and that they should be feared or avoided","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their religion is being framed as a threat, afraid that people will believe that stereotype",offensive generalization
7,Some races have lower physical and cognitive abilities therefore their life is less valuable.,Denouncing,"All human life is inherently valuable and deserves equal respect and dignity, regardless of race or any perceived differences in physical or cognitive abilities.",174,6304,people_of_color,The speaker is trying to make a point about the value of life for certain races,racial,"implies that people of color have lower physical and cognitive abilities than white people, and therefore their lives are less valuable","people of color could feel like they are being judged based on their race, or that their lives are not valued as much as white people's lives","people of color could feel angry, frustrated, and insulted by the statement",offensive generalization
8,We are forced to economically support all of them,Positive,"Governments must protect all migrants from racist and xenophobic violence, exploitation and forced labour. Migrants should never be detained or forced to return to their countries without a legitimate reason.",130,525,people_of_color,The speaker is trying to express their opinion about a certain group of people,racial,"implies that people of color are not capable of providing for themselves, and that they are dependent on others for financial support","people of color could feel less welcome in society, more likely to be discriminated against, and more likely to be seen as a burden on society","people of color could feel angry, frustrated, and powerless at the implication that they are dependent on others for financial support",offensive generalization
9,"I would never trust a woman. They are irrational children, and that would be a sign of weakness.",Denouncing,"Trusting someone is not a sign of weakness, and making generalizations about a whole gender is unjust and disrespectful.",1453,9557,women,The speaker is trying to express their opinion about women,gender,"implies that women are irrational, and that this is a sign of weakness or weakness","might lead women to be more cautious when interacting with men, might lead them to question their own irrational behavior","women could feel angry, frustrated, and insulted by the statement",offensive generalization
10,It is ok to be racist against Asians.,Informative,"Racism in any form, against any ethnic group or minority is and never will be okay. Refrain from attacking these poor people.",1275,2655,asian_people,The speaker is trying to express their opinion that racism against Asians is acceptable,racial,"implies that racism against Asians is acceptable, and that it is okay to be racist against them","Asians could feel less welcome in the country they are in, and more likely to be discriminated against","Asians could feel angry, frustrated, and hurt by the statement",offensive generalization
