id,hatespeech,csType,counterspeech,hs_id,id2,hatespeechTarget,speakerIntent,powerDynamics,hatespeechImplication,targetGroupCognitiveReaction,targetGroupEmotionalReaction,hatespeechOffensiveness
1,Niggas shouldnt be part of our society. They are just too different from us.,Informative,A society is built on the cooperation of its members. Be kind to each other and respect each other's differences.,2896,5108,black_people,The speaker is trying to express their opinion about a certain group of people,racial,"implies that Niggas are not part of society, and that they are different from other people","Niggas could feel less welcome in society, more likely to be discriminated against, and more likely to internalize negative stereotypes about themselves","Niggas could feel angry, hurt, and discriminated against by the statement",offensive generalization
2,All black folk are like slaves they are weak and childlike. They are incapable of hard work.,Informative,"Hard work and being a good citizen is not determined by colour, or religion, or ethnicity. This is just an example of white supremacy propaganda.",3368,5753,black_people,The speaker is trying to express their opinion about black folks,racial,"implies that all black folks are weak, childlike, and incapable of hard work","black folks could want to avoid the speaker, feel less comfortable in the presence of the speaker, could make them seem more foreign than they are","black folks could feel angry, frustrated, and insulted by the statement",offensive generalization
3,"Race is a social construct, and if you see any difference between these two women, its because you have a mental illness. Image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate",Denouncing,"Women are women the world over, full stop.",6,30,black_people,The speaker is trying to make a joke about race and mental illness,gender,"implies that African women are mentally ill, and that any difference between them is due to their race","African women could want to avoid the speaker, feel less comfortable in the conversation, and could make them seem more foreign than they are","African women could feel angry, insulted, or frustrated at the implication that they are mentally ill",microaggression
4,Blacks dont have brains.,Questioning,Isn't it important to expose children to diverse communities to foster understanding and acceptance of different cultures and races?,1178,6557,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that Black people are not intelligent, and that they are inferior to white people in terms of intelligence","might feel less welcome in the conversation, might start questioning their own intelligence or worth as a person","angry, frustrated, hurt, invalidated",offensive generalization
5,"Afrocaribbeans are just a bunch of stupid dancing nggers, they should be banned.",Informative,"There are still incidents of hate speech being hurled at people from different ethnic backgrounds, and it is because of the fear of different ways of life.",1440,2870,black_people,The speaker is trying to express their opinion about Afro-Caribbean people,racial,"It implies that Afro-Caribbean people are stupid, and that they should not be allowed in the country they are in","might cause POC to avoid the speaker and assume he is prejudiced, might make Afro-Caribbean folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
6,Blacks always complain about racism saying we still treat them badly. But they are always trying to steal our jobs.,Denouncing,"Racism is a deeply-rooted problem that must be addressed. Black individuals contribute to society and deserve equal opportunities, not baseless accusations.",3377,8381,black_people,The speaker is trying to make a point about racism and job-stealing,racial,"implies that Black people are always trying to steal jobs from white people, which is false and offensive","Black people could feel less welcome in the workplace, more likely to be discriminated against, and less likely to want to work there","Black people could feel angry, frustrated, and insulted by the statement",offensive generalization
7,Niggas in the ghetto thats where they belong.,Questioning,"What evidence or reasoning supports the belief that disabled people deserve contempt and ridicule? isn't it important to promote empathy and understanding for all individuals, regardless of their abilities?",2208,7405,black_people,The speaker is trying to express their opinion about a certain group of people,racial,"It implies that Black people are not welcome in the ghetto, and that they belong there.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
8,I went to a shit load of therapy. I still dont feel safe in my own house with all these black people around.,Questioning,Don't you think that maybe the black community also feels unsafe in their own houses with so many people glaring at them?,358,1162,black_people,The speaker is trying to express their fear of black people in their home,racial,"implies that black people are dangerous, and that they should be feared or avoided","black people could want to avoid the speaker, feel less comfortable in their own home, or feel like they need to prove themselves more than other people do","black people could feel angry, scared, or threatened by the statement",microaggression
9,Niggasare inferior and should be enslaved once again.,Positive,"No human is inferior. If you believe in a god, you need to believe that he made us all equal.",3459,6058,black_people,The speaker is trying to express their opinion about black people,racial,"implies that black people are inferior, and should be enslaved again","black people could feel less welcome in the country they are in, might want to avoid those kinds of conversations with people like the speaker","black people could feel angry, hurt, and scared by the statement",hate speech
10,Blacks are nothing but degenerates. They are a plague on Europe.,Informative,"It is important to address misconceptions and promote accurate information. Blacks have played a crucial role in europe's history. From the african soldiers who fought alongside europeans in world war i and ii to prominent figures in art, literature, and science, their contributions are undeniable. Furthermore, studies reveal that diverse societies foster innovation and economic growth. Stereotyping an entire racial group as degenerates is not only baseless but also perpetuates harmful biases. Let's celebrate diversity and work towards a more inclusive europe.",3059,8401,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that Black people are inferior, degenerates, and a plague on Europe","might feel less welcome in the country they are in, might start questioning whether they belong in Europe or not","angry, hurt, frustrated, scared",offensive generalization
11,Where is the love in White Britain when we need it?,Informative,"My faith does not dictate that i cannot love and support my partner, however it does not support my being a homophobe, or racist.",366,1177,black_people,The speaker is trying to express their frustration with the lack of love in White Britain,racial,"It implies that non-white people do not have the same love as white people, and that they do not need it as much as white people do","might cause POC to avoid the speaker and assume he is prejudiced, might make non-white folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
