id,hatespeech,counterspeech,annotations,comments
1,Niggas shouldnt be part of our society. They are just too different from us.,A society is built on the cooperation of its members. Be kind to each other and respect each other's differences.,Empathy and Affiliation,
2,All black folk are like slaves they are weak and childlike. They are incapable of hard work.,"Hard work and being a good citizen is not determined by colour, or religion, or ethnicity. This is just an example of white supremacy propaganda.",Empathy and Affiliation,
3,"Race is a social construct, and if you see any difference between these two women, its because you have a mental illness. Image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate","Women are women the world over, full stop.","Empathy and Affiliation, Denouncing",
4,Blacks dont have brains.,Isn't it important to expose children to diverse communities to foster understanding and acceptance of different cultures and races?,"Empathy and Affiliation, Denouncing",
5,"Afrocaribbeans are just a bunch of stupid dancing nggers, they should be banned.","There are still incidents of hate speech being hurled at people from different ethnic backgrounds, and it is because of the fear of different ways of life.","Empathy and Affiliation, Questioning",
6,Blacks always complain about racism saying we still treat them badly. But they are always trying to steal our jobs.,"Racism is a deeply-rooted problem that must be addressed. Black individuals contribute to society and deserve equal opportunities, not baseless accusations.","Empathy and Affiliation, Questioning",
7,Niggas in the ghetto thats where they belong.,"What evidence or reasoning supports the belief that disabled people deserve contempt and ridicule? isn't it important to promote empathy and understanding for all individuals, regardless of their abilities?",,
8,I went to a shit load of therapy. I still dont feel safe in my own house with all these black people around.,Don't you think that maybe the black community also feels unsafe in their own houses with so many people glaring at them?,,
9,Niggasare inferior and should be enslaved once again.,"No human is inferior. If you believe in a god, you need to believe that he made us all equal.",,
10,Blacks are nothing but degenerates. They are a plague on Europe.,"It is important to address misconceptions and promote accurate information. Blacks have played a crucial role in europe's history. From the african soldiers who fought alongside europeans in world war i and ii to prominent figures in art, literature, and science, their contributions are undeniable. Furthermore, studies reveal that diverse societies foster innovation and economic growth. Stereotyping an entire racial group as degenerates is not only baseless but also perpetuates harmful biases. Let's celebrate diversity and work towards a more inclusive europe.",,
